,Name,activity_type,ratings,address,website,contact,Open/Closed,Time
38,JW Cafe,Coffee shop, 4.6 stars ,"Chhatrapati Shivaji International Airport Area, Navpada, Vile Parle East, Vile Parle, Mumbai, Maharashtra 400099","['bit.ly', 'jwmumbai.com']",098197 84963,Open, ⋅ Closes 11:30 pm
39,Pokket Cafe Chowpatty,Cafe, 4.3 stars ,"Shop No 1 & 2, 39/A, N.S Road, below Revival Restaurant, Charni Road East, Sea Face, Chowpatty, Gamdevi, Mumbai, Maharashtra 400007",['dineout.co.in'],091369 66818,Open, ⋅ Closes 11 pm
40,Bake House Cafe,Cafe, 4.3 stars ,"WRHJ+6XF, Chamber of Commerce Ln, Kala Ghoda, Fort, Mumbai, Maharashtra 400001",['swiggy.com'],091369 66818,Open, ⋅ Closes 1 am
41,Chaos Control Cafe,Cafe, 4.3 stars ,"Gr. Floor, Crystal Towers St. Xavier's Street, Parel, Mumbai, Maharashtra 400012","['dineout.co.in', 'swiggy.com']",091678 61373,Open, ⋅ Closes 12 am
42,I CAFE,Cafe, 4.7 stars ,"Ranwar, Bandra West, Mumbai, Maharashtra 400050","['dineout.co.in', 'swiggy.com']",076666 16555,Open, ⋅ Closes 8 pm
43,Cafe Excelsior,Cafe, 4.1 stars ,"Kitab Mahal, 23, AK Nayak Marg, opp. Excelsior Cinema, Azad Maidan, Fort, Mumbai, Maharashtra 400001",['swiggy.com'],076666 16555,Open, ⋅ Closes 9 pm
44,Dilly Dally Cafe,Cafe, 4.5 stars ,"shop no 2/3, Melbourne Building, Shastri Nagar Lane 1, Lokhandwala Complex, Andheri West, Mumbai, Maharashtra 400053","['dillydallycafe.in', 'dillydallycafe.in']",083691 62072,Unavailable,Unavailable
45,Cafe Panama,Cafe, 4.4 stars ,"Lower Parel Compound, Sitaram Jadhav Marg, Lower Parel, Mumbai, Maharashtra 400013",['swiggy.com'],099882 14444,Closed, ⋅ Opens 12 pm
46,Banyan Tree Cafe,Cafe, 4.2 stars ,"7, 9, Calicut Rd, Ballard Estate, Fort, Mumbai, Maharashtra 400001","['eazydiner.com', 'swiggy.com']",096190 33000,Open, ⋅ Closes 9 pm
47,Bombay To Barcelona Library Cafe,Cafe, 4.6 stars ,"Timmy Arcade, 778, Makwana Rd, Gamdevi, Marol, Andheri East, Mumbai, Maharashtra 400059",['bombaytobarcelonalibrarycafe.com'],077384 46788,Open, ⋅ Closes 11 pm
48,Third Wave Coffee,Cafe, 4.9 stars ,"CrossWord Bookstore, Kemps Corner Flyover, Babulnath, Kemps Corner, Tardeo, Mumbai, Maharashtra 400026","['thirdwavecoffee.in', 'swiggy.com', 'cafe.thirdwavecoffee.in']",081477 38399,Open, ⋅ Closes 10 pm
49,The Trans Cafe,Cafe, 4.9 stars ,"Bunglow 30/33, Old, Mhada Rd, opposite Laxmi Dairy, near Hanuman Mandir Lane, SV Patel Nagar, Andheri West, Mumbai, Maharashtra 400053",[],081477 38399,Closed, ⋅ Opens 1 pm
